BabyId,FirsttimeParent,Crying date,Crying time,Crying seconds,Feeding date,Feeding time,Bottle amount,PumpingDate,PumpingTimePumpingLeftPumpingRight,Pumping Left,PumpingRight,SleepingDate,SleepingTime,SleepingSecond
HPT2_NR_16,1,10-08-2015,23:05:20,NA,10-08-2015,23:05:20,180,10-08-2015,23:05:20,NA,NA,10-08-2015,23:05:20,32862.78362
HPT2_NR_16,1,11-08-2015,09:28:01,NA,11-08-2015,09:28:01,180,11-08-2015,09:28:01,NA,NA,11-08-2015,09:28:01,2704.596183
HPT2_NR_16,1,11-08-2015,12:30:00,NA,11-08-2015,12:30:00,180,11-08-2015,12:30:00,NA,NA,11-08-2015,12:30:00,9000
HPT2_NR_16,1,11-08-2015,18:12:31,NA,11-08-2015,18:12:31,180,11-08-2015,18:12:31,NA,NA,11-08-2015,18:12:31,2186.206907
HPT2_NR_16,1,11-08-2015,21:20:13,NA,11-08-2015,21:20:13,180,11-08-2015,21:20:13,NA,NA,11-08-2015,21:20:13,2460
HPT2_NR_16,1,11-08-2015,22:55:21,NA,11-08-2015,22:55:21,115,11-08-2015,22:55:21,NA,NA,11-08-2015,22:55:21,35486.79718
HPT2_NR_16,1,12-08-2015,10:15:00,NA,12-08-2015,10:15:00,180,12-08-2015,10:15:00,NA,NA,12-08-2015,10:15:00,2700
HPT2_NR_16,1,12-08-2015,13:21:25,NA,12-08-2015,13:21:25,180,12-08-2015,13:21:25,NA,NA,12-08-2015,13:21:25,8048.854676
HPT2_NR_16,1,12-08-2015,17:00:00,NA,12-08-2015,17:00:00,180,12-08-2015,17:00:00,NA,NA,12-08-2015,17:00:00,900
HPT2_NR_16,1,12-08-2015,18:08:59,NA,12-08-2015,18:08:59,180,12-08-2015,18:08:59,NA,NA,12-08-2015,18:08:59,1280.988927
HPT2_NR_16,1,12-08-2015,20:13:01,NA,12-08-2015,20:13:01,180,12-08-2015,20:13:01,NA,NA,12-08-2015,20:13:01,350.853406
HPT2_NR_16,1,12-08-2015,21:27:24,NA,12-08-2015,21:27:24,180,12-08-2015,21:27:24,NA,NA,12-08-2015,21:27:24,1523.149718
HPT2_NR_16,1,12-08-2015,23:13:20,NA,12-08-2015,23:13:20,180,12-08-2015,23:13:20,NA,NA,12-08-2015,23:13:20,35415.46606
HPT2_NR_16,1,13-08-2015,10:58:01,NA,13-08-2015,10:58:01,180,13-08-2015,10:58:01,NA,NA,13-08-2015,10:58:01,2093.917924
HPT2_NR_16,1,13-08-2015,13:51:56,NA,13-08-2015,13:51:56,180,13-08-2015,13:51:56,NA,NA,13-08-2015,13:51:56,7954.12466
HPT2_NR_16,1,13-08-2015,18:39:03,NA,13-08-2015,18:39:03,180,13-08-2015,18:39:03,NA,NA,13-08-2015,18:39:03,2070.363532
HPT2_NR_16,1,13-08-2015,23:30:19,NA,13-08-2015,23:30:19,180,13-08-2015,23:30:19,NA,NA,13-08-2015,23:30:19,35126.91988
HPT2_NR_16,1,14-08-2015,09:45:00,NA,14-08-2015,09:45:00,180,14-08-2015,09:45:00,NA,NA,14-08-2015,09:45:00,3300
HPT2_NR_16,1,14-08-2015,17:02:02,NA,14-08-2015,17:02:02,170,14-08-2015,17:02:02,NA,NA,14-08-2015,17:02:02,9000
HPT2_NR_16,1,14-08-2015,23:47:43,NA,14-08-2015,23:47:43,180,14-08-2015,23:47:43,NA,NA,14-08-2015,23:47:43,34445.80963
HPT2_NR_16,1,15-08-2015,11:04:00,NA,15-08-2015,11:04:00,180,15-08-2015,11:04:00,NA,NA,15-08-2015,11:04:00,9660
HPT2_NR_16,1,15-08-2015,16:30:00,NA,15-08-2015,16:30:00,180,15-08-2015,16:30:00,NA,NA,15-08-2015,16:30:00,1800
HPT2_NR_16,1,15-08-2015,17:37:04,NA,15-08-2015,17:37:04,180,15-08-2015,17:37:04,NA,NA,15-08-2015,17:37:04,4492.544715
HPT2_NR_16,1,15-08-2015,19:27:11,NA,15-08-2015,19:27:11,180,15-08-2015,19:27:11,NA,NA,15-08-2015,19:27:11,5400
HPT2_NR_16,1,15-08-2015,23:30:00,NA,15-08-2015,23:30:00,165,15-08-2015,23:30:00,NA,NA,15-08-2015,23:30:00,6300
HPT2_NR_16,1,16-08-2015,02:14:01,NA,16-08-2015,02:14:01,180,16-08-2015,02:14:01,NA,NA,16-08-2015,02:14:01,25116.28813
HPT2_NR_16,1,16-08-2015,11:08:37,NA,16-08-2015,11:08:37,180,16-08-2015,11:08:37,NA,NA,16-08-2015,11:08:37,543.501957
HPT2_NR_16,1,16-08-2015,11:33:52,NA,16-08-2015,11:33:52,180,16-08-2015,11:33:52,NA,NA,16-08-2015,11:33:52,2410.851805
HPT2_NR_16,1,16-08-2015,14:17:54,NA,16-08-2015,14:17:54,165,16-08-2015,14:17:54,NA,NA,16-08-2015,14:17:54,1126.681246
HPT2_NR_16,1,16-08-2015,15:52:00,NA,16-08-2015,15:52:00,180,16-08-2015,15:52:00,NA,NA,16-08-2015,15:52:00,1380
HPT2_NR_16,1,16-08-2015,17:51:15,NA,16-08-2015,17:51:15,180,16-08-2015,17:51:15,NA,NA,16-08-2015,17:51:15,7325.138272
HPT2_NR_16,1,16-08-2015,22:33:57,NA,16-08-2015,22:33:57,180,16-08-2015,22:33:57,NA,NA,16-08-2015,22:33:57,2033.24478
HPT2_NR_16,1,16-08-2015,23:41:26,NA,16-08-2015,23:41:26,160,16-08-2015,23:41:26,NA,NA,16-08-2015,23:41:26,33404.52394
HPT2_NR_16,1,17-08-2015,10:33:44,NA,17-08-2015,10:33:44,180,17-08-2015,10:33:44,NA,NA,17-08-2015,10:33:44,5535.179009
HPT2_NR_16,1,17-08-2015,14:40:00,NA,17-08-2015,14:40:00,180,17-08-2015,14:40:00,NA,NA,17-08-2015,14:40:00,1800
HPT2_NR_16,1,17-08-2015,16:56:42,NA,17-08-2015,16:56:42,,17-08-2015,16:56:42,NA,NA,17-08-2015,16:56:42,2832.435557
HPT2_NR_16,1,17-08-2015,17:59:54,NA,17-08-2015,17:59:54,,17-08-2015,17:59:54,NA,NA,17-08-2015,17:59:54,728.018613
HPT2_NR_16,1,17-08-2015,18:36:15,NA,17-08-2015,18:36:15,,17-08-2015,18:36:15,NA,NA,17-08-2015,18:36:15,5428.573886
HPT2_NR_16,1,17-08-2015,23:15:04,NA,17-08-2015,23:15:04,,17-08-2015,23:15:04,NA,NA,17-08-2015,23:15:04,34067.08371
HPT2_NR_16,1,18-08-2015,10:22:30,NA,18-08-2015,10:22:30,,18-08-2015,10:22:30,NA,NA,18-08-2015,10:22:30,2375.273666
HPT2_NR_16,1,18-08-2015,12:26:19,NA,18-08-2015,12:26:19,,18-08-2015,12:26:19,NA,NA,18-08-2015,12:26:19,2364.091546
HPT2_NR_16,1,18-08-2015,14:40:24,NA,18-08-2015,14:40:24,,18-08-2015,14:40:24,NA,NA,18-08-2015,14:40:24,1706.031042
HPT2_NR_16,1,18-08-2015,16:04:25,NA,18-08-2015,16:04:25,,18-08-2015,16:04:25,NA,NA,18-08-2015,16:04:25,6222.853606
HPT2_NR_16,1,18-08-2015,20:16:50,NA,18-08-2015,20:16:50,,18-08-2015,20:16:50,NA,NA,18-08-2015,20:16:50,1823.985265
HPT2_NR_16,1,18-08-2015,23:45:00,NA,18-08-2015,23:45:00,,18-08-2015,23:45:00,NA,NA,18-08-2015,23:45:00,27480
HPT2_NR_16,1,19-08-2015,08:30:00,NA,19-08-2015,08:30:00,,19-08-2015,08:30:00,NA,NA,19-08-2015,08:30:00,5400
HPT2_NR_16,1,19-08-2015,10:15:00,NA,19-08-2015,10:15:00,,19-08-2015,10:15:00,NA,NA,19-08-2015,10:15:00,3300
HPT2_NR_16,1,19-08-2015,13:05:00,NA,19-08-2015,13:05:00,,19-08-2015,13:05:00,NA,NA,19-08-2015,13:05:00,2100
HPT2_NR_16,1,19-08-2015,16:00:00,NA,19-08-2015,16:00:00,,19-08-2015,16:00:00,NA,NA,19-08-2015,16:00:00,3600
HPT2_NR_16,1,19-08-2015,18:15:00,NA,19-08-2015,18:15:00,,19-08-2015,18:15:00,NA,NA,19-08-2015,18:15:00,900
HPT2_NR_16,1,19-08-2015,20:50:21,NA,19-08-2015,20:50:21,,19-08-2015,20:50:21,NA,NA,19-08-2015,20:50:21,1575.603191
HPT2_NR_16,1,19-08-2015,23:30:00,NA,19-08-2015,23:30:00,,19-08-2015,23:30:00,NA,NA,19-08-2015,23:30:00,33300
HPT2_NR_16,1,20-08-2015,13:45:14,NA,20-08-2015,13:45:14,,20-08-2015,13:45:14,NA,NA,20-08-2015,13:45:14,8236.132922
HPT2_NR_16,1,20-08-2015,17:30:00,NA,20-08-2015,17:30:00,,20-08-2015,17:30:00,NA,NA,20-08-2015,17:30:00,1800
HPT2_NR_16,1,20-08-2015,20:37:55,NA,20-08-2015,20:37:55,,20-08-2015,20:37:55,NA,NA,20-08-2015,20:37:55,2013.046607
HPT2_NR_16,1,20-08-2015,23:52:14,NA,20-08-2015,23:52:14,,20-08-2015,23:52:14,NA,NA,20-08-2015,23:52:14,33547.92765
HPT2_NR_16,1,21-08-2015,11:00:00,NA,21-08-2015,11:00:00,,21-08-2015,11:00:00,NA,NA,21-08-2015,11:00:00,1800
HPT2_NR_17,1,11-08-2015,20:55:00,NA,11-08-2015,20:55:00,NA,11-08-2015,20:55:00,90,0,11-08-2015,20:55:00,36900
HPT2_NR_17,1,12-08-2015,08:10:00,NA,12-08-2015,08:10:00,NA,12-08-2015,08:10:00,60,40,12-08-2015,08:10:00,4620
HPT2_NR_17,1,12-08-2015,10:45:00,NA,12-08-2015,10:45:00,NA,12-08-2015,10:45:00,120,0,12-08-2015,10:45:00,1800
HPT2_NR_17,1,12-08-2015,13:20:00,NA,12-08-2015,13:20:00,NA,12-08-2015,13:20:00,50,0,12-08-2015,13:20:00,1800
HPT2_NR_17,1,12-08-2015,14:13:00,NA,12-08-2015,14:13:00,80,12-08-2015,14:13:00,NA,NA,12-08-2015,14:13:00,300
HPT2_NR_17,1,12-08-2015,14:44:11,NA,12-08-2015,14:44:11,80,12-08-2015,14:44:11,NA,NA,12-08-2015,14:44:11,1715.548926
HPT2_NR_17,1,12-08-2015,17:45:00,NA,12-08-2015,17:45:00,NA,12-08-2015,17:45:00,NA,NA,12-08-2015,17:45:00,1500
HPT2_NR_17,1,12-08-2015,20:03:00,NA,12-08-2015,20:03:00,NA,12-08-2015,20:03:00,NA,NA,12-08-2015,20:03:00,1800
HPT2_NR_17,1,12-08-2015,21:55:00,NA,12-08-2015,21:55:00,NA,12-08-2015,21:55:00,NA,NA,12-08-2015,21:55:00,30900
HPT2_NR_17,1,13-08-2015,07:25:00,NA,13-08-2015,07:25:00,NA,13-08-2015,07:25:00,NA,NA,13-08-2015,07:25:00,5400
HPT2_NR_17,1,13-08-2015,09:40:00,NA,13-08-2015,09:40:00,140,13-08-2015,09:40:00,NA,NA,13-08-2015,09:40:00,2100
HPT2_NR_17,1,13-08-2015,12:10:00,NA,13-08-2015,12:10:00,NA,13-08-2015,12:10:00,NA,NA,13-08-2015,12:10:00,2100
HPT2_NR_17,1,13-08-2015,14:10:00,NA,13-08-2015,14:10:00,NA,13-08-2015,14:10:00,NA,NA,13-08-2015,14:10:00,1200
